Sample ID,Run,Tributary,Bam,Coverage,Source
F020137COL,Fall,Coleman,/home/maccamp/shernook/bams/F020137COL_5_S27_L004_R1_001.bam,1.56962,New
F020140COL,Fall,Coleman,/home/maccamp/shernook/bams/F020140COL_5_S28_L004_R1_001.bam,1.50705,New
F020142COL,Fall,Coleman,/home/maccamp/shernook/bams/F020142COL_5_S29_L004_R1_001.bam,1.39468,New
F020154COL,Fall,Coleman,/home/maccamp/shernook/bams/F020154COL_5_S30_L004_R1_001.bam,1.5146,New
F020158COL,Fall,Coleman,/home/maccamp/shernook/bams/F020158COL_5_S31_L004_R1_001.bam,2.32347,New
F020164COL,Fall,Coleman,/home/maccamp/shernook/bams/F020164COL_5_S32_L004_R1_001.bam,1.42634,New
F020022DER,Fall,Deer,/home/maccamp/shernook/bams/F020022DER_6_S75_L004_R1_001.bam,0.706674,New
F030013DER,Fall,Deer,/home/maccamp/shernook/bams/F030013DER_17_S59_L004_R1_001.bam,2.59151,New
F030014DER,Fall,Deer,/home/maccamp/shernook/bams/F030014DER_17_S80_L004_R1_001.bam,2.40078,New
F040097BUT,Fall,Butte,/home/maccamp/shernook/bams/F040097BUT_t_S67_L004_R1_001.bam,0.806283,New
F010019STN,Fall,Stanislaus,/home/maccamp/shernook/bams/F010019STN_25_S81_L004_R1_001.bam,0.921187,New
F010289STN,Fall,Stanislaus,/home/maccamp/shernook/bams/F010289STN_26_S62_L004_R1_001.bam,1.00082,New
F040043STN,Fall,Stanislaus,/home/maccamp/shernook/bams/F040043STN_27_S83_L004_R1_001.bam,0.505767,New
F080016TOU,Fall,Tuolumne,/home/maccamp/shernook/bams/F080016TOU_2_S63_L004_R1_001.bam,2.16521,New
F080027MER,Fall,Merced,/home/maccamp/shernook/bams/F080027MER_2_S97_L004_R1_001.bam,0.974221,New
F010157MER,Fall,Merced,/home/maccamp/shernook/bams/F010157MER_18_S90_L004_R1_001.bam,1.89048,New
F010240MER,Fall,Merced,/home/maccamp/shernook/bams/F010240MER_19_S61_L004_R1_001.bam,1.01001,New
F010225MER,Fall,Merced,/home/maccamp/shernook/bams/F010225MER_38_S42_L004_R1_001.bam,3.25348,New
F010226MER,Fall,Merced,/home/maccamp/shernook/bams/F010226MER_38_S93_L004_R1_001.bam,1.40483,New
L030085USR,Late Fall,Upper Sac,/home/maccamp/shernook/bams/L030085USR_36_S39_L004_R1_001.bam,0.762554,New
F030040MIL,Fall,Mill,/home/maccamp/shernook/bams/F030040MIL_20_S33_L004_R1_001.bam,2.86172,New
F030045MIL,Fall,Mill,/home/maccamp/shernook/bams/F030045MIL_20_S34_L004_R1_001.bam,0.879811,New
F030059MIL,Fall,Mill,/home/maccamp/shernook/bams/F030059MIL_20_S95_L004_R1_001.bam,0.764267,New
F030071MIL,Fall,Mill,/home/maccamp/shernook/bams/F030071MIL_20_S35_L004_R1_001.bam,0.745379,New
F030081MIL,Fall,Mill,/home/maccamp/shernook/bams/F030081MIL_20_S36_L004_R1_001.bam,2.76155,New
S980004YUB,Spring,Yuba,/home/maccamp/shernook/bams/S980004YUB_43_S99_L004_R1_001.bam,2.83748,New
S990001YUB,Spring,Yuba,/home/maccamp/shernook/bams/S990001YUB_43_S54_L004_R1_001.bam,3.08845,New
S990002YUB,Spring,Yuba,/home/maccamp/shernook/bams/S990002YUB_43_S100_L004_R1_001.bam,1.01734,New
S990004YUB,Spring,Yuba,/home/maccamp/shernook/bams/S990004YUB_43_S52_L004_R1_001.bam,2.46692,New
S990005YUB,Spring,Yuba,/home/maccamp/shernook/bams/S990005YUB_43_S53_L004_R1_001.bam,2.18018,New
