Sample ID,Run,Tributary,Sample Date,Sex,Sampling Method
F020137COL ,Fall,Coleman,10/29/02,F,Hatchery spawn
F020140COL,Fall,Coleman,10/29/02,F,Hatchery spawn
F020142COL,Fall,Coleman,10/29/02,F,Hatchery spawn
F020154COL ,Fall,Coleman,10/29/02,F,Hatchery spawn
F020158COL ,Fall,Coleman,10/29/02,F,Hatchery spawn
F020164COL ,Fall,Coleman,10/29/02,F,Hatchery spawn
F020022DER,Fall,Deer,11/27/02,F,carcass survey
F030013DER,Fall,Deer,11/12/03,M,carcass recovery
F030014DER ,Fall,Deer,11/12/03,U,carcass recovery
F040008DER ,Fall,Deer,11/8/04,F,carcass survey
F040010DER ,Fall,Deer,11/8/04,M,carcass survey
F040011DER ,Fall,Deer,11/8/04,M,carcass survey
F030114BUT ,Fall,Butte,11/18/03,F,carcass recovery
F040089BUT ,Fall,Butte,11/18/04,M,Escapement survey
F040095BUT ,Fall,Butte,11/22/04,M,Escapement survey
F040097BUT ,Fall,Butte,11/22/04,M,Escapement survey
F040117BUT ,Fall,Butte,11/30/04,F,Escapement survey
F040121BUT ,Fall,Butte,11/30/04,M,Escapement survey
F010019STN ,Fall,Stanislaus,12/14/01,F,carcass survey
F010289STN ,Fall,Stanislaus,11/16/01,F,carcass survey
F010290STN ,Fall,Stanislaus,11/16/01,F,carcass survey
F040043STN ,Fall,Stanislaus,11/21/04,F,Escapement survey
F040052STN ,Fall,Stanislaus,11/22/04,F,Escapement survey
F040060STN ,Fall,Stanislaus,11/23/04,F,Escapement survey
F080012TOU,Fall,Tuolumne,11/17/08,M,carcass survey
F080016TOU,Fall,Tuolumne,11/17/08,F,carcass survey
F040033TOU ,Fall,Tuolumne,11/24/04,M,Escapement survey
F040036TOU ,Fall,Tuolumne,11/24/04,F,Escapement survey
F040079TOU ,Fall,Tuolumne,12/13/04,M,Escapement survey
F040020TOU ,Fall,Tuolumne,11/22/04,F,Escapement survey
F080027MER ,Fall,Merced,11/24/08,M,carcass survey
F010157MER ,Fall,Merced,11/26/01,F,Escapement survey
